geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_state,geolocation_city
01048,-23.547448918662464,-46.64016924063704,sp,são paulo
01049,-23.54530659310986,-46.636994571065735,sp,sao paulo
01050,-23.549773516504185,-46.64559900666509,sp,sao paulo
01101,-23.533718588348005,-46.63327836278268,sp,sao paulo
01102,-23.52261021648681,-46.62942387523806,sp,são paulo
01103,-23.53538864556528,-46.631747708436734,sp,são paulo
01104,-23.535218462115523,-46.62461223313523,sp,sao paulo
01105,-23.533744232586976,-46.63063486274458,sp,sao paulo
01106,-23.53249635607949,-46.62640566388715,sp,sao paulo
01107,-23.522004902014046,-46.63397365860703,sp,sao paulo
01108,-23.52375957536492,-46.6324154521322,sp,sao paulo
01109,-23.525355372756565,-46.62754223036526,sp,sao paulo
01120,-23.53076048626577,-46.639216010416,sp,sao paulo
01121,-23.524588477378973,-46.634392141554585,sp,sao paulo
01122,-23.531280767701485,-46.637260391482464,sp,são paulo
01123,-23.529307180131543,-46.63490526351788,sp,sao paulo
01124,-23.527367392723217,-46.63188348903572,sp,sao paulo
01125,-23.529050497085805,-46.63889432139766,sp,sao paulo
01126,-23.52915073382772,-46.64042336234055,sp,sao paulo
01127,-23.52773504025041,-46.64480016028046,sp,sao paulo
01128,-23.52296856571061,-46.64174928255676,sp,sao paulo
01129,-23.5259237463212,-46.642131776011375,sp,sao paulo
01130,-23.52663823480868,-46.64380970358929,sp,sao paulo
01131,-23.52164183207347,-46.64747554830047,sp,sao paulo
01132,-23.51929180460501,-46.64980089647412,sp,sao paulo
01133,-23.522591105747573,-46.651049014715184,sp,sao paulo
01134,-23.51867680707737,-46.6531159131789,sp,são paulo
01135,-23.52122103136361,-46.65296293450282,sp,sao paulo
01136,-23.52350959838998,-46.666944167638064,sp,são paulo
01137,-23.51957274271452,-46.654271565497176,sp,são paulo
01138,-23.5188254074384,-46.65562359824576,sp,sao paulo
01139,-23.52076037607479,-46.661384138207694,sp,sao paulo
01140,-23.517930174303164,-46.66742959008009,sp,sao paulo
01141,-23.52011919677996,-46.66584000098096,sp,são paulo
01142,-23.51993430515264,-46.6251300217966,sp,sao paulo
01144,-23.52362350735759,-46.67201579877662,sp,sao paulo
01150,-23.532255303364263,-46.662756071469765,sp,sao paulo
01151,-23.527788191788307,-46.66030962184773,sp,sao paulo
01152,-23.52916893282939,-46.65214846073055,sp,sao paulo
01153,-23.52811869885744,-46.65645154579032,sp,são paulo
01154,-23.53158118373822,-46.66174681473255,sp,sao paulo
01155,-23.52878808243405,-46.664404203300826,sp,sao paulo
01156,-23.5298272739339,-46.66466605744709,sp,são paulo
01189,-23.53210825506378,-46.63839470107914,sp,sao paulo
01200,-23.531567773241413,-46.64986907784642,sp,sao paulo
01201,-23.53435725950717,-46.64935629739165,sp,sao paulo
01202,-23.530243903687488,-46.65091042186511,sp,são paulo
01203,-23.537119379681474,-46.64438743865777,sp,sao paulo
01204,-23.53680115237462,-46.644416271856414,sp,sao paulo
01205,-23.53176047100233,-46.64592571455356,sp,são paulo
01206,-23.535535799324883,-46.64305202830518,sp,sao paulo
01207,-23.536840620318525,-46.640393035807016,sp,sao paulo
01208,-23.540822507357586,-46.6397147149576,sp,sao paulo
01209,-23.539446764643067,-46.639378335968615,sp,sao paulo
01210,-23.540860990564934,-46.64385528059898,sp,são paulo
01211,-23.53582223582903,-46.651605049299015,sp,sao paulo
01212,-23.537511255832708,-46.63705730743676,sp,são paulo
01213,-23.536400280050746,-46.64003758881069,sp,sao paulo
01214,-23.53569581346678,-46.64141313885349,sp,sao paulo
01215,-23.537982300854097,-46.64927618235323,sp,são paulo
01216,-23.53597285667968,-46.651407002063245,sp,sao paulo
01217,-23.533844773241405,-46.64940663613022,sp,sao paulo
01218,-23.531544680824037,-46.65066866833055,sp,são paulo
01219,-23.540223573951277,-46.645277138092126,sp,sao paulo
01220,-23.542757999999992,-46.64547398167813,sp,sao paulo
01221,-23.54601532944774,-46.64900196003804,sp,sao paulo
01222,-23.547159576461446,-46.64989460560333,sp,são paulo
01223,-23.54377251788917,-46.6482729970858,sp,sao paulo
01224,-23.541718547319537,-46.64883066180968,sp,sao paulo
01225,-23.54064714772717,-46.648251782670506,sp,sao paulo
01226,-23.534478565641404,-46.65502761740432,sp,são paulo
01227,-23.537290117980763,-46.65443089812821,sp,sao paulo
01228,-23.54839279655493,-46.659018341392965,sp,sao paulo
01229,-23.54108734139297,-46.65733920275257,sp,sao paulo
01230,-23.532734734664448,-46.654324449073776,sp,sao paulo
01231,-23.5367081559813,-46.6596418411045,sp,sao paulo
01232,-23.53676737440136,-46.65507313113856,sp,sao paulo
01233,-23.540299470713855,-46.66278360519932,sp,sao paulo
01234,-23.537055499855768,-46.66361722052618,sp,sao paulo
01235,-23.53645971856428,-46.66424678602334,sp,sao paulo
01236,-23.54169219568345,-46.66747262574287,sp,sao paulo
01237,-23.544317693577312,-46.66982279920932,sp,sao paulo
01238,-23.54195269441404,-46.65931762155928,sp,sao paulo
01239,-23.548781693029053,-46.65745981155857,sp,sao paulo
01240,-23.54378694284137,-46.65861209437926,sp,sao paulo
01241,-23.54567660866176,-46.6569934730798,sp,são paulo
01242,-23.547526626983625,-46.65580327269316,sp,sao paulo
01243,-23.54946977906979,-46.65509829793992,sp,sao paulo
01244,-23.54499336358131,-46.65968022344037,sp,sao paulo
01245,-23.54929680904841,-46.66359454884875,sp,são paulo
01246,-23.55259069386578,-46.6664048798257,sp,sao paulo
01247,-23.551341734760975,-46.66937701435217,sp,são paulo
01248,-23.547307547319537,-46.66789155107045,sp,sao paulo
01249,-23.54756594892955,-46.66977043395457,sp,sao paulo
01250,-23.548106335564583,-46.67255083804609,sp,sao paulo
01251,-23.54700826311385,-46.67399273506846,sp,são paulo
01252,-23.54173205190716,-46.67710841548848,sp,sao paulo
01253,-23.54320796973291,-46.680244701079125,sp,sao paulo
01254,-23.54196785483874,-46.68191419135562,sp,são paulo
01255,-23.545782460730543,-46.68119826089217,sp,sao paulo
01256,-23.54856753595123,-46.683293049685474,sp,são paulo
01257,-23.54507217346644,-46.68438057799065,sp,sao paulo
01258,-23.54499310130417,-46.685597180824026,sp,sao paulo
01259,-23.54335652677597,-46.683946373016354,sp,sao paulo
01262,-23.550856391462712,-46.67735184892536,sp,sao paulo
01290,-23.54096134139296,-46.657748702752585,sp,são paulo
01301,-23.550812799901816,-46.65525802969017,sp,sao paulo
01302,-23.547650962519555,-46.64357747515727,sp,sao paulo
01303,-23.55001132944774,-46.64818240521669,sp,sao paulo
01304,-23.55217944962204,-46.652991998615015,sp,sao paulo
01305,-23.556083049685476,-46.658022684978974,sp,sao paulo
01306,-23.55433380183505,-46.64967363918865,sp,sao paulo
01307,-23.549360699694148,-46.65412441687346,sp,sao paulo
01308,-23.555182505135885,-46.65226234401868,sp,sao paulo
01309,-23.557323688585655,-46.65692890729416,sp,são paulo
01310,-23.556926913670807,-46.6615417904381,sp,sao paulo
01311,-23.560566359426364,-46.65761042867444,sp,sao paulo
01312,-23.55364600943506,-46.64827785290551,sp,sao paulo
01313,-23.556513287803007,-46.65025319729151,sp,sao paulo
01314,-23.550271219805023,-46.641530430203645,sp,sao paulo
01315,-23.552592988343235,-46.64068338732753,sp,sao paulo
01316,-23.55298158090484,-46.63977389064573,sp,sao paulo
01317,-23.56281094772712,-46.64538049222014,sp,sao paulo
01318,-23.56503810268915,-46.64731633542034,sp,sao paulo
01319,-23.55156260866176,-46.64021297307979,sp,são paulo
01320,-23.557337937272795,-46.63877749362335,sp,sao paulo
01321,-23.55896103857696,-46.64089188579832,sp,sao paulo
01322,-23.564189902302505,-46.64356963725542,sp,sao paulo
01323,-23.56360092810872,-46.64096891541434,sp,sao paulo
01324,-23.551359454065437,-46.64339075477531,sp,sao paulo
01325,-23.56040415015292,-46.64409070038665,sp,sao paulo
01326,-23.558908285042403,-46.64517207853889,sp,sao paulo
01327,-23.56521929669917,-46.6451517253736,sp,sao paulo
01328,-23.55542941271852,-46.64533779225576,sp,sao paulo
01329,-23.563145744936214,-46.64661879892085,sp,sao paulo
01330,-23.556817623925213,-46.64986083625707,sp,sao paulo
01331,-23.562327520947598,-46.6503277425703,sp,sao paulo
01332,-23.559874596168275,-46.65312715543304,sp,sao paulo
01333,-23.56356993894623,-46.65184216708981,sp,sao paulo
01401,-23.569747571977175,-46.65100357197719,sp,sao paulo
01402,-23.58406691212703,-46.66998067037748,sp,sao paulo
01403,-23.57034735804139,-46.65315099653755,sp,são paulo
01404,-23.56994326977895,-46.657093704685806,sp,sao paulo
01405,-23.566964123780973,-46.65698270719597,sp,sao paulo
01406,-23.56582006549717,-46.65801073994457,sp,são paulo
01407,-23.5784800999192,-46.67516750652087,sp,sao paulo
01408,-23.569438714409333,-46.66342129141903,sp,sao paulo
01409,-23.5613664276935,-46.657593869005645,sp,sao paulo
01410,-23.558595737434405,-46.65657075535223,sp,sao paulo
01411,-23.568546850380155,-46.66483313596545,sp,sao paulo
01412,-23.5644233366611,-46.66684085068379,sp,são paulo
01413,-23.55863183097696,-46.66070142630853,sp,são paulo
01414,-23.56362276547979,-46.667603824167614,sp,são paulo
01415,-23.551840037191976,-46.65455309547579,sp,sao paulo
01416,-23.55951039494492,-46.66706390175425,sp,sao paulo
01417,-23.48850962531019,-46.714606281435714,sp,sao paulo
01418,-23.56312173510022,-46.656566708353616,sp,sao paulo
01419,-23.557767998615013,-46.662673347769605,sp,sao paulo
01420,-23.56851813765943,-46.65191532569683,sp,sao paulo
01421,-23.562331512897508,-46.66120425339033,sp,são paulo
01422,-23.55978441771017,-46.6660792610364,sp,sao paulo
01423,-23.568918203156603,-46.656995139736914,sp,sao paulo
01424,-23.56816235942637,-46.66117892867444,sp,sao paulo
01425,-23.572330354982963,-46.66082327699232,sp,sao paulo
01426,-23.562597147293012,-46.66968807621716,sp,sao paulo
01427,-23.573515117952592,-46.66112293352187,sp,são paulo
01428,-23.576461470165608,-46.65933149278663,sp,sao paulo
01429,-23.57524108520401,-46.66307398459231,sp,são paulo
01430,-23.881629353829144,-46.643818799723405,sp,sao paulo
01431,-23.578166638380598,-46.66288281851213,sp,sao paulo
01432,-23.574420691644068,-46.66422198695826,sp,sao paulo
01433,-23.58188488758732,-46.66848679753589,sp,são paulo
01434,-23.57791700859833,-46.66945260115993,sp,sao paulo
01435,-23.579681908967608,-46.66963177269314,sp,sao paulo
01436,-23.572650803768283,-46.66771704607878,sp,sao paulo
01437,-23.57095471827582,-46.66969642853022,sp,sao paulo
01438,-23.570325577009708,-46.67299258050082,sp,sao paulo
01439,-23.566283267268798,-46.67340369415422,sp,sao paulo
01440,-23.56448527782904,-46.674418610595005,sp,sao paulo
01441,-23.575656697760916,-46.68951882930351,sp,são paulo
01442,-23.56370226740048,-46.67529085698279,sp,sao paulo
01443,-23.56750865000869,-46.68471805799536,sp,sao paulo
01444,-23.605675658895493,-46.74544468220901,sp,sao paulo
01445,-23.568346382739897,-46.68910543089613,sp,sao paulo
01446,-23.575692782128208,-46.67656975659298,sp,sao paulo
01447,-23.572517679150597,-46.680710766460734,sp,sao paulo
01448,-23.57741669608748,-46.67817482139765,sp,sao paulo
01449,-23.576292199001667,-46.68142310352587,sp,sao paulo
01450,-23.574925477927227,-46.68505199999999,sp,sao paulo
01451,-23.583489065785624,-46.68508055092622,sp,sao paulo
01452,-23.56883153079836,-46.69199439364803,sp,sao paulo
01453,-23.583435663338896,-46.68646270038665,sp,sao paulo
01454,-23.582148872612336,-46.68638063183105,sp,sao paulo
01455,-23.580690704974277,-46.68751888037395,sp,sao paulo
01456,-23.578504155433038,-46.690118296987634,sp,sao paulo
01457,-23.57883550069249,-46.69092820399332,sp,sao paulo
01472,-23.57054369248079,-46.69129667943905,sp,sao paulo
01489,-23.57664998889148,-46.68740004775216,sp,sao paulo
01501,-23.5519314837556,-46.63569089731083,sp,são paulo
01502,-23.55498324839867,-46.63569905288812,sp,sao paulo
01503,-23.555488240827945,-46.63559923847351,sp,são paulo
01504,-23.56375858312654,-46.63899210115993,sp,sao paulo
01505,-23.555396514570944,-46.6328610313636,sp,são paulo
01506,-23.56180273327946,-46.63479182904371,sp,são paulo
01507,-23.558197452680457,-46.63164907507647,sp,são paulo
01508,-23.56014607245072,-46.633346125858445,sp,sao paulo
01509,-23.567590529834398,-46.63545150721337,sp,sao paulo
01510,-23.55619865667379,-46.63344748251487,sp,sao paulo
01511,-23.555682314184303,-46.63309991286275,sp,sao paulo
01512,-23.553644898695826,-46.63261889578163,sp,sao paulo
01513,-23.556895554532897,-46.63100370483005,sp,sao paulo
01514,-23.55306435468261,-46.62768625580495,sp,sao paulo
01516,-23.55948466195392,-46.61446206064973,sp,sao paulo
01517,-23.560247933666105,-46.624831454209655,sp,sao paulo
01518,-23.558930444630374,-46.62292373757862,sp,sao paulo
01519,-23.56007528864907,-46.62182990175425,sp,sao paulo
01520,-23.559238666108847,-46.61831887996994,sp,sao paulo
01521,-23.56012381877193,-46.62080822384439,sp,sao paulo
01522,-23.55916467499565,-46.61546691825843,sp,sao paulo
01523,-23.56366379462169,-46.61929091188178,sp,sao paulo
01524,-23.5670455434244,-46.61611199999999,sp,sao paulo
01525,-23.567008903139214,-46.63752874701368,sp,sao paulo
01526,-23.56690212960936,-46.6300592031566,sp,sao paulo
01527,-23.563144561198005,-46.62658014155458,sp,sao paulo
01528,-23.563268623088483,-46.62567806771887,sp,sao paulo
01529,-23.569353157366287,-46.63690014002537,sp,sao paulo
01530,-23.586145389375964,-46.72796029067322,sp,sao paulo
01531,-23.570124170696488,-46.63265515860704,sp,sao paulo
01532,-23.572060847625384,-46.636136837497816,sp,sao paulo
01533,-23.57219854010617,-46.63913109824576,sp,sao paulo
01534,-23.56284740383172,-46.62391126354653,sp,sao paulo
01535,-23.569618023313524,-46.62490078227243,sp,sao paulo
01536,-23.56253963239443,-46.622343972359054,sp,sao paulo
01537,-23.569022776299825,-46.62199066665712,sp,sao paulo
01538,-23.573205,-46.62290025,sp,são paulo
01539,-23.573782561198005,-46.62058066708981,sp,sao paulo
01540,-23.56461420122337,-46.62049830030583,sp,sao paulo
01541,-23.568722298084143,-46.61880092397124,sp,sao paulo
01542,-23.57081105190717,-46.62114560866177,sp,sao paulo
01543,-23.575755845951942,-46.62009625506377,sp,sao paulo
01544,-23.576922503462445,-46.622911919095145,sp,sao paulo
01545,-23.581373061053768,-46.6178758329102,sp,sao paulo
01546,-23.576252951151247,-46.62235967583239,sp,são paulo
01547,-23.58202355453289,-46.62322245045877,sp,sao paulo
01548,-23.578346556754592,-46.614710870390624,sp,sao paulo
01549,-23.57732126894224,-46.61708484846209,sp,sao paulo
01550,-23.57203616319466,-46.61521226741304,sp,sao paulo
01551,-23.576649380518187,-46.61216232569684,sp,sao paulo
01552,-23.573835900917526,-46.61101337290079,sp,sao paulo
01553,-23.57430307573513,-46.60968254215087,sp,sao paulo
02009,-23.515799103830265,-46.64113909097136,sp,sao paulo
02010,-23.514929559813023,-46.62640583152521,sp,são paulo
02011,-23.50190277027253,-46.626229169812845,sp,sao paulo
02012,-23.50836123028566,-46.62752418968636,sp,sao paulo
02013,-23.5030857485429,-46.63382294171621,sp,sao paulo
02016,-23.50097763469062,-46.62712333406575,sp,sao paulo
02017,-23.501381250870143,-46.639206505591815,sp,são paulo
02018,-23.493511048012017,-46.63106708174157,sp,sao paulo
02019,-23.498262,-46.62855053996195,sp,sao paulo
02020,-23.499083916977654,-46.63226647191997,sp,sao paulo
02021,-23.499439994171624,-46.63380353274858,sp,sao paulo
02022,-23.50623786745398,-46.64043238758518,sp,são paulo
02028,-23.50751845268047,-46.6174707485429,sp,sao paulo
02029,-23.510936587354013,-46.62008933890293,sp,sao paulo
02030,-23.504769581649203,-46.62470303231384,sp,sao paulo
02031,-23.51506899745697,-46.6253165150725,sp,sao paulo
02032,-23.5107769477988,-46.62390842770356,sp,sao paulo
02033,-23.50215379349651,-46.61688101249347,sp,sao paulo
02034,-23.50412273877685,-46.6246075311652,sp,sao paulo
02035,-23.500395,-46.62233251442673,sp,são paulo
02036,-23.50210750375091,-46.62196127699232,sp,sao paulo
02037,-23.499986521784315,-46.618730413266775,sp,sao paulo
02038,-23.49857049347913,-46.6233534590571,sp,sao paulo
02039,-23.49231066388715,-46.6205286217035,sp,sao paulo
02040,-23.489022991949916,-46.62186690299499,sp,sao paulo
02041,-23.49010232139766,-46.61972998972821,sp,sao paulo
02042,-23.48802239938832,-46.61900150236592,sp,sao paulo
02043,-23.490223040798668,-46.61732558589649,sp,sao paulo
02044,-23.49568082347514,-46.61894670690752,sp,sao paulo
02045,-23.494406023962647,-46.617320553160994,sp,sao paulo
02046,-23.48774784542202,-46.61152878400604,sp,sao paulo
02047,-23.51836389286744,-46.61420872522939,sp,sao paulo
02049,-23.5149758170985,-46.61611264542106,sp,são paulo
02050,-23.51654350320264,-46.61056315903973,sp,são paulo
02051,-23.51226773910784,-46.60874803052688,sp,sao paulo
02052,-23.509466926452752,-46.606867502077456,sp,sao paulo
02053,-23.510427444341925,-46.60117949988444,sp,sao paulo
02054,-23.51636255037796,-46.60569249861501,sp,sao paulo
02055,-23.512952943937883,-46.6083024672514,sp,sao paulo
02056,-23.510640635581964,-46.6040934060534,sp,são paulo
02060,-23.51886128198398,-46.60382280391252,sp,sao paulo
02064,-23.519807581453097,-46.5960457342604,sp,sao paulo
02065,-23.50172637108313,-46.602397760747934,sp,sao paulo
02066,-23.508759080212357,-46.602973042876144,sp,sao paulo
02067,-23.505895624473467,-46.60638997293555,sp,sao paulo
02068,-23.50320809186911,-46.61302451304173,sp,sao paulo
02069,-23.506887635581972,-46.61434088051819,sp,sao paulo
02071,-23.50313753733621,-46.609684480437394,sp,sao paulo
02072,-23.500810509290837,-46.60427196058632,sp,sao paulo
02073,-23.501230323619367,-46.60751038343238,sp,sao paulo
02074,-23.509075809596663,-46.59346383582438,sp,sao paulo
02075,-23.502028505135893,-46.60034967291817,sp,sao paulo
02076,-23.50692178074323,-46.5989496135092,sp,sao paulo
02077,-23.501001111575956,-46.59626327601136,sp,sao paulo
02078,-23.502460609498485,-46.59374588980903,sp,sao paulo
02079,-23.50036682653355,-46.60264059824574,sp,sao paulo
02080,-23.49781772078598,-46.60657423175024,sp,sao paulo
02081,-23.49664721787179,-46.6050361851232,sp,sao paulo
02082,-23.49467072799935,-46.609653122396,sp,sao paulo
02083,-23.49552085567545,-46.599274267557256,sp,sao paulo
02084,-23.495675029141907,-46.59947756924808,sp,sao paulo
02085,-23.4974436813723,-46.61260908702167,sp,sao paulo
02088,-23.50424025971884,-46.620742066583865,sp,sao paulo
02089,-23.51709448459233,-46.616673100755904,sp,sao paulo
02110,-23.52188843014645,-46.59374225679054,sp,sao paulo
02111,-23.515789212043405,-46.59197639370417,sp,sao paulo
02112,-23.512668178041054,-46.58665534166385,sp,são paulo
02113,-23.51528796497884,-46.58734465236856,sp,sao paulo
02114,-23.522853341941214,-46.59177958367481,sp,sao paulo
02115,-23.526499508561297,-46.59188593503609,sp,sao paulo
02116,-23.522700069940573,-46.58754575881468,sp,sao paulo
02117,-23.52019456333894,-46.593538927981854,sp,sao paulo
02118,-23.51661167998731,-46.59476458159733,sp,sao paulo
02119,-23.513593871775623,-46.59299115736628,sp,sao paulo
02120,-23.510416629107844,-46.594217747359366,sp,são paulo
02121,-23.51181353788448,-46.58921527477062,sp,sao paulo
02122,-23.513172191788303,-46.58263962184772,sp,sao paulo
02123,-23.510773697472448,-46.57804828074323,sp,sao paulo
02124,-23.50636475575626,-46.58066375575627,sp,sao paulo
02125,-23.507957137111184,-46.58846138051819,sp,sao paulo
02126,-23.506858079375625,-46.59162343505108,sp,sao paulo
02127,-23.50238052178431,-46.582730947544576,sp,sao paulo
02128,-23.50399490536093,-46.5946382411853,sp,sao paulo
02129,-23.50521569969416,-46.58945986733221,sp,sao paulo
02130,-23.508100938657773,-46.58282425353455,sp,são paulo
02131,-23.50281070858096,-46.581761933117846,sp,sao paulo
02132,-23.49833145406544,-46.58041450069248,sp,sao paulo
02133,-23.500291464048765,-46.585615159039705,sp,sao paulo
02134,-23.499318080212344,-46.578124372468125,sp,sao paulo
02135,-23.498807971146547,-46.573631134485446,sp,sao paulo
02136,-23.4982544454671,-46.57847265889549,sp,são paulo
02137,-23.50176923397196,-46.57187320760001,sp,sao paulo
02138,-23.49565160199666,-46.57582722508515,sp,sao paulo
02139,-23.494134939494487,-46.57343969969415,sp,são paulo
02141,-23.489125655104345,-46.57563101727822,sp,são paulo
02142,-23.509860072593558,-46.57548531556786,sp,sao paulo
02143,-23.50799229892086,-46.57521706910386,sp,sao paulo
02144,-23.505075172949205,-46.57083605675562,sp,sao paulo
02145,-23.50149553621103,-46.56529291326677,sp,sao paulo
02146,-23.50095702331352,-46.57088226395057,sp,sao paulo
02147,-23.49955674271452,-46.5652199639332,sp,são paulo
02150,-23.495750203445063,-46.56850788842403,sp,sao paulo
02151,-23.493537729684284,-46.56649157558708,sp,sao paulo
02152,-23.498158714409342,-46.573211734116185,sp,são paulo
02161,-23.491262189566605,-46.57078597807146,sp,são paulo
02162,-23.49030645045876,-46.56191043118461,sp,são paulo
02166,-23.525060091869104,-46.583738219401,sp,sao paulo
02167,-23.522903946448046,-46.58180409758191,sp,sao paulo
02168,-23.520174883432382,-46.57883175284207,sp,são paulo
02169,-23.51932718168024,-46.57580722635043,sp,sao paulo
02170,-23.525379999999927,-46.576089999999965,sp,são paulo
02174,-23.523062564007805,-46.57189679679223,sp,sao paulo
02175,-23.516718741284578,-46.57445726194335,sp,sao paulo
02176,-23.51226784347044,-46.5737047327312,sp,sao paulo
02177,-23.511112774078125,-46.56976216763806,sp,sao paulo
02178,-23.519838404668437,-46.57027290507246,sp,são paulo
02179,-23.51950161226844,-46.567310496104845,sp,sao paulo
02180,-23.51997318512321,-46.5659400380287,sp,sao paulo
02181,-23.52093290536093,-46.56270976672054,sp,são paulo
02185,-23.512283612268444,-46.56782303996194,sp,sao paulo
02186,-23.51335483236194,-46.56877347114656,sp,sao paulo
02187,-23.515125715794323,-46.56489950138496,sp,sao paulo
02188,-23.507509473772288,-46.56565713558197,sp,sao paulo
02189,-23.507621497085808,-46.56616243450284,sp,são paulo
02190,-23.5099120335853,-46.56318688703905,sp,sao paulo
02201,-23.48564922814357,-46.59218589286744,sp,são paulo
02202,-23.493126080212345,-46.59436597807144,sp,sao paulo
02203,-23.491692314184306,-46.59024532431184,sp,sao paulo
02204,-23.483740588954927,-46.5898570932541,sp,sao paulo
02205,-23.489101697472453,-46.58859076977895,sp,sao paulo
02206,-23.487076247013697,-46.589872683594,sp,são paulo
02207,-23.485869985284825,-46.59066163474524,sp,sao paulo
02208,-23.48101574715792,-46.58546644517863,sp,sao paulo
02209,-23.485064826913263,-46.58236126674555,sp,sao paulo
02210,-23.48653952622772,-46.57926775506377,sp,sao paulo
02211,-23.497022021928537,-46.59590298182237,sp,sao paulo
02212,-23.494525155981307,-46.58841008381904,sp,sao paulo
02213,-23.49287325284208,-46.58454115751052,sp,sao paulo
02214,-23.49363686955392,-46.58577018151652,sp,são paulo
02215,-23.491089052455425,-46.5850818805182,sp,sao paulo
02216,-23.494534007655435,-46.5778358295101,sp,sao paulo
02217,-23.490335892030725,-46.58028421051419,sp,são paulo
02218,-23.486735252842077,-46.58408012476191,sp,sao paulo
02219,-23.487935688874103,-46.5808627924,sp,sao paulo
02220,-23.490745910352587,-46.57794383819032,sp,sao paulo
02221,-23.481978422701832,-46.58058753344108,sp,sao paulo
02222,-23.48463030030584,-46.57788816694557,sp,sao paulo
02223,-23.47872104025041,-46.58108916028048,sp,sao paulo
02224,-23.481351072998997,-46.567048185815686,sp,sao paulo
02225,-23.480339500692484,-46.57586314071786,sp,sao paulo
02226,-23.484632448237065,-46.57191858451151,sp,sao paulo
02227,-23.483253583126537,-46.569258712187626,sp,sao paulo
02228,-23.480055932281125,-46.569816911189314,sp,sao paulo
02229,-23.47929118373822,-46.56787618526742,sp,sao paulo
02230,-23.48274827338563,-46.56490113044606,sp,sao paulo
02231,-23.47785620260835,-46.56407653052688,sp,são paulo
02232,-23.476190144324534,-46.56109123841534,sp,sao paulo
02233,-23.47538490091753,-46.564339557591325,sp,sao paulo
02234,-23.476274393968733,-46.56835100557099,sp,são paulo
02235,-23.479438693865774,-46.5790147857349,sp,sao paulo
02236,-23.474632525679453,-46.56894074606139,sp,sao paulo
02237,-23.46503080460501,-46.56958828587911,sp,sao paulo
02238,-23.47019809031553,-46.56484109288583,sp,sao paulo
02239,-23.483926269699744,-46.60867003954127,sp,sao paulo
02240,-23.48014781848348,-46.604095532892806,sp,sao paulo
02241,-23.490518793784968,-46.60742305591787,sp,sao paulo
02242,-23.488133029141903,-46.60765995712386,sp,sao paulo
02243,-23.49083843519532,-46.5983578447112,sp,sao paulo
02244,-23.49047396142303,-46.60639166527211,sp,sao paulo
02245,-23.48347746211553,-46.60599175145708,sp,sao paulo
